source_file,row_data
Montreal.csv,source_file,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27
Montreal.csv,page_0063_tables.csv,,Montréal Québec Trois-Rivières,,70,43 6,1,9,,3,,2,,,5,2,,8,,63,,,147,,,16,24,1*
Montreal.csv,page_0067_tables.csv,,Montréal,,,113,94,,8,11,,3,,52,2,,53,8,183,2,,124,,72,202,,,
Montreal.csv,page_0068_tables.csv,Laval,Montréal-Nord,,,1,,,,,,,,,,,,1,,,1,,,,,,,
Montreal.csv,page_0069_tables.csv,Westmount,Westmount Montreal West,,,1,1,,,,,,,2,,,,,1,,,,,1,,,,
Montreal.csv,page_0069_tables.csv,,Montréal,,,150,108,,17,8,,1,,114,,,90,2,240,,,149,,31,382,,,
Montreal.csv,page_0070_tables.csv,Laval,Montréal-Nord,,,,,,,,,,,,,,,,,,,1,,,2,,,
Montreal.csv,page_0070_tables.csv,,Montréal-Est,,,2,,,,,,,,,,,,,1,,,1,,,,,,
Montreal.csv,page_0072_tables.csv,,Montreal West,,,,,,,,,,,2,,,,,,,,,,,,,,
Montreal.csv,page_0072_tables.csv,,Montréal,,,83,87,,23,11,,1,,64,1,,156,5,252,2,,160,,10,315,,,
Montreal.csv,page_0074_tables.csv,,Montreal West,,,,,,,,,,,,,,,,1,,,,,,,,,
Montreal.csv,page_0074_tables.csv,,Montréal,,,113,81,,24,4,,1,,48,,,112,11,217,1,,167,,2,349,,,
Montreal.csv,page_0075_tables.csv,,Montréal-Est,,,,,,,,,,,,,,1,,,,,,,,,,,
Montreal.csv,page_0076_tables.csv,,Montréal,,,110,55,,18,13,,1,1,44,,,204,13,183,5,,200,,2,217,,,
Montreal.csv,page_0077_tables.csv,,Montréal-Nord,,,,,,,,,,,1,,,,,,,,,,,,,,
Montreal.csv,page_0077_tables.csv,,Montréal-Est,,,,,,,,,,,,,,,,,,,1,,,,,,
Montreal.csv,page_0078_tables.csv,,Montréal,,,112,45,,18,,,2,,100,,,556,16,162,3,,,,,,,,
Montreal.csv,page_0080_tables.csv,,Montréal,,,90,,,,,,,,,,,,,,,,,,,,,,
Montreal.csv,page_0081_tables.csv,,Montréal-Sud,,,,,,,,,,,,,,,,,,,1 1,,,,,,
Montreal.csv,page_0081_tables.csv,,Montréal-Est,,,,,,,,,,,,,,,,,,,,,,,,,
Montreal.csv,page_0081_tables.csv,,Montréal-Nord,,,,,,,,,,,,,,2,,,,,,,1,,,,
Montreal.csv,page_0082_tables.csv,,Montreal West,,,1,,,,,,,,2,,,11,1,5,,,,,,11,,,
Montreal.csv,page_0082_tables.csv,,Montréal Québec,,,42,47 15,,12,,,1,,71,1,,2050,21,163,3,,281,,4,218,,,
Montreal.csv,page_0083_tables.csv,,Montréal-Nord,,,,,,,,,,,,,,,,1,,,,,,,,,
Montreal.csv,page_0083_tables.csv,,Montréal-Est,,,,,,,,,,,,,,8,,,,,1,,,,,,
Montreal.csv,page_0084_tables.csv,,Montreal West,,,,,,,,,1,,1 1,,,102,,6,,,1,,1,4,,,
Montreal.csv,page_0084_tables.csv,,Montréal Québec,,,32 1,53,,13,,,,5,49,,,1145,11,132,4,,181,,13,211,,,
Montreal.csv,page_0085_tables.csv,Laval,Montréal-Est,,,,,,,,,,,,,,,,,,,1,,,,,,
Montreal.csv,page_0085_tables.csv,,Montréal-Nord,,,,2,,,,,,,,,,,,,,,,,1,,,,
Montreal.csv,page_0086_tables.csv,,Montreal West,,,1,,,,,,,,,,,62,,10,,,2,,,12,,,
Montreal.csv,page_0087_tables.csv,,Montréal,,,59,40,,12,1,,,3,8,4,,243,2,45,1,,150,,32,68,,,
Montreal.csv,page_0087_tables.csv,Laval,Montréal-Est,,,,3,,,,,,,,,,,,1,,,,,,,,,
Montreal.csv,page_0087_tables.csv,,Montréal-Nord,,,,,,,,,,,,,,,,,,,1,,,,,,
Montreal.csv,page_0088_tables.csv,,Montreal-West,,,,,,,,,,,,,,,,4,,2,,,,,2 1,,
Montreal.csv,page_0088_tables.csv,,Montréal,,,80,47,,12,,,,1,1,95,,50,1,63,,,180,,24,23,,,
Montreal.csv,page_0092_tables.csv,Westmount,Westmount Montreal West,,,,1,,,,,,,,1 3,,,,,,,,,,,,,
Montreal.csv,page_0092_tables.csv,,Montreal,,,,,,,,,,,,,,,,,,,,,,,,,
Montreal.csv,page_0094_tables.csv,Laval,Montréal-Est,,,,1,,,,,,,,,,,,6,,,,,,,,,
Montreal.csv,page_0095_tables.csv,Westmount,Montréal West,,,,1,1,,,,,,,,3,,,2,,,,,,1,,,
Montreal.csv,page_0098_tables.csv,,Montreal West,,,,,,,,,,,,,,1,,,,,,,,,,,
Montreal.csv,page_0099_tables.csv,,Montréal-Nord,,,4,1,,,,,,,,1,,1,,1,,,1,,,,,,
page_0001_tables.csv,﻿NO TABLE FOUND
page_0002_tables.csv,﻿Table: Table_1
page_0002_tables.csv,Comtés Counties,Municipalités Municipalities,Variole Small-pox,Diphtérie Diphtheria,Scarlatine Scarlet fever,Fièvre typhoide Typhoid fever,Rougeole Measles,Varicelle Chicken-pox,Coqueluche Whooping-cough,Méning. Cér. Spin. Cer. spinal meningitis,Tuberculose Tuberculosis,Paral. Infantile Infant. paralysis,Grippe Influenza
page_0002_tables.csv,,Monrréal,,101,117,136,79,21,37,2,88,,5
page_0002_tables.csv,,Québec,,14,14,,2,1,,,8,,
page_0002_tables.csv,,Trois-Rivières,,3,1,1,,22,12,,,,
page_0002_tables.csv,Abitibi,Amos,,,1,1,,,,,,,
page_0002_tables.csv,,Privat,,,,,5,,30,,,,
page_0002_tables.csv,Arthabaska,Stanfold,,,,1,,,,,,,
page_0002_tables.csv,,Princeville,,,,1,,,,,,,
page_0002_tables.csv,Beauce,St-Joseph, village,,,,,,2,,,,,
page_0002_tables.csv,,St-François,,,2,,,1,,,,,
page_0002_tables.csv,,St-Georges,,,,,,1,,,,,
page_0002_tables.csv,,S.-C. de Jésus,,,,1,,,,,,,
page_0002_tables.csv,Bellechasse,St-Charles,,3,,,,,,,,,
page_0002_tables.csv,Berthier,St-Ignace de Loyola,,,,1,,,,,,,
page_0002_tables.csv,,St-Barthélémy,,,,1,,,,,,,
page_0002_tables.csv,Bonaventure,Escuminac,,,,1,,,,,,,
page_0002_tables.csv,Brome,Brome, Tsp,,1,,,,,,,,,
page_0002_tables.csv,Champlain,La Tuque,,1,2,,,,,,,,
page_0002_tables.csv,,Ste-Anne de la Pérade,,4,,,,,,,,,
page_0002_tables.csv,,Cap de la Madeleine,,,,2,,,,,,,
page_0002_tables.csv,Charlevoix.,Baie St-Paul,,,,1,,,,,,,
page_0002_tables.csv,Chateauguay,St-Antoine l'Abbé,,,1,,,,,,,,
page_0002_tables.csv,Chicoutimi,Jonquières,,,1,,,,,,,,
page_0002_tables.csv,Compton,Cookshire,,,,14,,,,,,,
page_0002_tables.csv,,Newport,,,,,1,,,,,,
page_0002_tables.csv,,Bury,,,,,,,15,,,,
