file_name,row_index,col_index,AWS_Value,Manual_Value,Equal,Confidence_Value
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2,21,6,6,TRUE,74.51
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2,22,1,1,TRUE,85.69
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2,23,7,7,TRUE,56.64
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2,24,1,1,TRUE,83.45
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2,25,3,3,TRUE,19.87
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2,26,-,-,TRUE,82.71
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2,27,-,-,TRUE,34.84
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2,28,1,1,TRUE,82.42
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2,29,-,-,TRUE,74.22
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2,30,-,-,TRUE,25.81
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2,31,1,1,TRUE,85.16
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2,32,-,-,TRUE,50.63
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2,33,1,1,TRUE,81.3
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2,34,-,-,TRUE,45.58
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2,35,6,6,TRUE,83.4
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2,36,12,12,TRUE,82.32
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2,37,4,4,TRUE,79.54
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2,38,3,3,FALSE,82.76
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,3,0,4,4,TRUE,26.9
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,3,1,(a) Amoebic,(a) Amoebic,TRUE,86.23
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,3,2,-,-,TRUE,80.96
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,3,3,-,-,TRUE,77.15
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,3,4,-,-,TRUE,83.11
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,3,5,-,-,TRUE,85.74
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,3,6,-,-,TRUE,30.49
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,3,7,1,1,TRUE,85.84
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,3,8,-,-,TRUE,82.67
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,3,9,-,-,TRUE,68.26
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,3,10,-,-,TRUE,81.98
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,3,11,-,-,TRUE,79.59
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,3,12,-,-,TRUE,23.01
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,3,13,-,-,TRUE,80.18
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,3,14,-,-,TRUE,18.81
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,3,15,-,-,TRUE,80.96
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,3,16,-,-,TRUE,19.52
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,3,17,...,..,FALSE,83.35
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,3,18,,..,FALSE,19.57
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,3,19,...,..,FALSE,82.96
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,3,20,,..,FALSE,76.9
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,3,21,,..,FALSE,72.61
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,3,22,,..,FALSE,83.5
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,3,23,,-,FALSE,55.22
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,3,24,-,-,TRUE,81.3
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,3,25,-,-,TRUE,19.36
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,3,26,-,-,TRUE,80.57
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,3,27,-,-,TRUE,33.94
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,3,28,-,-,TRUE,80.32
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,3,29,-,-,TRUE,72.31
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,3,30,-,-,TRUE,25.12
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,3,31,-,-,TRUE,82.96
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,3,32,-,-,TRUE,49.37
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,3,33,-,-,TRUE,79.2
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,3,34,-,-,TRUE,44.41
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,3,35,-,-,TRUE,81.25
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,3,36,-,-,TRUE,80.18
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,3,37,-,-,TRUE,77.49
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,3,38,4,4,FALSE,80.62
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,4,0,5,5,TRUE,26.9
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,4,1,(h) Pacillary,(b) Bacillary,FALSE,92.58
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,4,2,13,13,TRUE,86.91
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,4,3,20,20,TRUE,82.81
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,4,4,12,12,TRUE,89.21
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,4,5,109,109,TRUE,92.04
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,4,6,87,87,TRUE,32.74
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,4,7,90,90,TRUE,92.14
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,4,8,-,-,TRUE,88.77
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,4,9,-,-,TRUE,73.29
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,4,10,-,-,TRUE,87.99
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,4,11,-,-,TRUE,85.45
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,4,12,-,-,TRUE,24.71
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,4,13,-,-,TRUE,86.08
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,4,14,-,-,TRUE,20.2
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,4,15,-,-,TRUE,86.91
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,4,16,-,-,TRUE,20.96
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,4,17,,..,FALSE,89.5
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,4,18,,..,FALSE,21.01
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,4,19,...,..,FALSE,89.06
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,4,20,,..,FALSE,82.57
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,4,21,6,6,TRUE,77.93
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,4,22,...,..,FALSE,89.65
