Table: Table_1
73.19,87.70,77.73,70.41,80.66,84.03,36.40,85.06,70.70,63.18,79.39,70.51,81.25,73.73,46.41,75.63,27.88,79.05,18.70,81.05,73.24,39.92,82.18,43.46,79.35,45.97,76.71,72.80,81.74,56.79,69.14,83.01,75.54,76.03,37.45,84.42,79.15,82.03,82.37
68.36,81.88,72.61,65.77,75.34,78.52,34.01,79.49,66.06,58.98,74.17,65.87,75.93,68.85,43.36,70.65,26.05,73.83,17.47,75.68,68.41,37.28,76.81,40.60,74.12,42.94,71.68,68.02,76.37,53.03,64.60,77.54,70.61,71.00,34.99,78.91,73.93,76.61,76.95
72.17,86.47,76.66,69.43,79.54,82.86,35.91,83.89,69.73,62.30,78.32,69.53,80.13,72.71,45.78,74.61,27.49,77.98,18.44,79.93,72.22,39.36,81.05,42.85,78.22,45.34,75.68,71.83,80.62,56.01,68.16,81.88,74.51,74.95,36.91,83.30,78.08,80.91,81.25
74.51,89.26,79.10,71.68,82.13,85.55,37.06,86.62,71.97,64.31,80.86,71.83,82.71,75.05,47.27,77.00,28.39,80.47,19.03,82.52,74.56,40.62,83.69,44.24,80.76,46.80,78.12,74.12,83.25,57.81,70.36,84.52,76.90,77.39,38.11,85.99,80.57,83.50,83.89
68.51,82.08,72.75,65.92,75.54,78.66,34.08,79.64,66.21,59.13,74.37,66.02,76.07,68.99,43.46,70.85,26.10,74.02,17.50,75.88,68.55,37.38,76.95,40.70,74.27,43.04,71.83,68.16,76.56,53.17,64.75,77.73,70.75,71.14,35.06,79.05,74.12,76.81,77.15
68.55,82.13,72.80,65.97,75.59,78.71,34.11,79.69,66.26,59.18,74.41,66.06,76.12,69.04,43.48,70.85,26.12,74.07,17.52,75.93,68.60,37.38,77.00,40.72,74.32,43.07,71.88,68.21,76.56,53.22,64.75,77.78,70.80,71.19,35.08,79.10,74.17,76.86,77.20
72.56,86.91,77.05,69.78,79.98,83.35,36.11,84.38,70.12,62.65,78.76,69.92,80.57,73.10,46.02,75.00,27.64,78.37,18.54,80.32,72.61,39.58,81.49,43.09,78.66,45.58,76.07,72.22,81.05,56.30,68.55,82.32,74.90,75.34,37.13,83.74,78.47,81.35,81.69
75.20,90.09,79.83,72.31,82.91,86.38,37.43,87.40,72.66,64.89,81.59,72.46,83.50,75.73,47.71,77.73,28.64,81.25,19.21,83.25,75.24,41.02,84.47,44.65,81.54,47.24,78.86,74.85,84.03,58.35,71.04,85.30,77.64,78.12,38.48,86.77,81.35,84.28,84.67
74.37,89.06,78.96,71.53,81.98,85.40,36.99,86.43,71.83,64.16,80.66,71.63,82.57,74.90,47.17,76.86,28.32,80.32,18.99,82.32,74.37,40.55,83.50,44.14,80.62,46.70,77.93,73.97,83.06,57.71,70.21,84.33,76.76,77.20,38.04,85.79,80.42,83.35,83.69
70.85,84.86,75.24,68.16,78.12,81.35,35.25,82.37,68.46,61.13,76.90,68.26,78.66,71.39,44.95,73.24,27.00,76.56,18.10,78.47,70.90,38.65,79.59,42.07,76.81,44.51,74.27,70.51,79.15,54.98,66.94,80.37,73.14,73.58,36.25,81.74,76.61,79.39,79.74
