file_name,row_index,col_index,AWS_Value,Manual_Value,Equal,Equal_No_Commas_No_Spaces,Equal_Shifted,Only_Numbers_Equal_Or_Shifted,Any_Equality,Confidence_Value,Lev_Dist,Lev_Sim
padded_cdi_ca_1956_wk_prov_dbs_Part28_tables.csv,16,24,(6),23,False,False,False,False,False,78.96,3,0.0
padded_cdi_ca_1956_wk_prov_dbs_Part28_tables.csv,16,25,(6),19,False,False,False,False,False,36.08,3,0.0
padded_cdi_ca_1956_wk_prov_dbs_Part28_tables.csv,18,24,2,(6),False,False,False,False,False,72.95,3,0.0
padded_cdi_ca_1956_wk_prov_dbs_Part28_tables.csv,26,1,diseases⁷,(e) Other venereal diseases 8,False,False,False,False,False,87.3,21,0.2758620689655172
padded_cdi_ca_1956_wk_prov_dbs_Part29_tables.csv,16,1,Tuberculosis:4,"Tuberculosis: 4,6",False,False,False,False,False,86.72,3,0.8235294117647058
padded_cdi_ca_1956_wk_prov_dbs_Part29_tables.csv,26,1,(e) Other venereal diseases⁷,(e) Other venereal diseases 8,False,False,False,False,False,90.48,2,0.9310344827586208
padded_cdi_ca_1956_wk_prov_dbs_Part2_tables.csv,14,12,5(s),5 (5),False,False,False,False,False,62.99,2,0.6
padded_cdi_ca_1956_wk_prov_dbs_Part2_tables.csv,16,1,Tuberculosis:4,"Tuberculosis: 4,6",False,False,False,False,False,88.28,3,0.8235294117647058
padded_cdi_ca_1956_wk_prov_dbs_Part2_tables.csv,26,1,(e) Other venereal diseases⁷,(e) Other venereal diseases 8,False,False,False,False,False,90.62,2,0.9310344827586208
padded_cdi_ca_1956_wk_prov_dbs_Part30_tables.csv,16,1,Tuberculosis:4,"Tuberculosis: 4,6",False,False,False,False,False,88.18,3,0.8235294117647058
padded_cdi_ca_1956_wk_prov_dbs_Part31_tables.csv,16,1,Tuberculosis:4,"Tuberculosis: 4,6",False,False,False,False,False,90.53,3,0.8235294117647058
padded_cdi_ca_1956_wk_prov_dbs_Part31_tables.csv,26,1,(e) Other venereal diseases⁷,(e) Other venereal diseases 8,False,False,False,False,False,86.28,2,0.9310344827586208
padded_cdi_ca_1956_wk_prov_dbs_Part32_tables.csv,0,16,:.,8,False,False,False,False,False,29.83,2,0.0
padded_cdi_ca_1956_wk_prov_dbs_Part32_tables.csv,0,28,:.,10,False,False,False,False,False,88.09,2,0.0
padded_cdi_ca_1956_wk_prov_dbs_Part32_tables.csv,2,1,14,Dysentery: 4,False,False,False,False,False,86.08,11,0.0833333333333333
padded_cdi_ca_1956_wk_prov_dbs_Part32_tables.csv,6,7,a.e.,8958,False,False,False,False,False,78.91,4,0.0
padded_cdi_ca_1956_wk_prov_dbs_Part32_tables.csv,9,31,A.A,9,False,False,False,False,False,23.07,3,0.0
padded_cdi_ca_1956_wk_prov_dbs_Part32_tables.csv,14,1, etc.⁵,"Scarlet fever, etc. 5 **",False,False,False,False,False,82.76,19,0.2083333333333333
padded_cdi_ca_1956_wk_prov_dbs_Part32_tables.csv,16,0,is:4,17,False,False,False,False,False,89.6,4,0.0
padded_cdi_ca_1956_wk_prov_dbs_Part32_tables.csv,16,1,176,"Tuberculosis: 4,6",False,False,False,False,False,83.45,16,0.0588235294117647
padded_cdi_ca_1956_wk_prov_dbs_Part32_tables.csv,17,22,(6),102,False,False,False,False,False,80.91,3,0.0
padded_cdi_ca_1956_wk_prov_dbs_Part32_tables.csv,17,25,25,(6),False,False,False,False,False,29.1,3,0.0
padded_cdi_ca_1956_wk_prov_dbs_Part32_tables.csv,18,1,12,(b) Non-pulmonary,False,False,False,False,False,79.49,17,0.0
padded_cdi_ca_1956_wk_prov_dbs_Part32_tables.csv,18,22,(6),3,False,False,False,False,False,82.86,3,0.0
padded_cdi_ca_1956_wk_prov_dbs_Part32_tables.csv,18,31,a.a,3,False,False,False,False,False,22.97,3,0.0
padded_cdi_ca_1956_wk_prov_dbs_Part32_tables.csv,23,7,PP.,73,False,False,False,False,False,81.64,3,0.0
padded_cdi_ca_1956_wk_prov_dbs_Part32_tables.csv,26,0,r venereal ases⁷,27,False,False,False,False,False,92.19,16,0.0
padded_cdi_ca_1956_wk_prov_dbs_Part33_tables.csv,26,1,(e) Other venereal diseases⁷,(e) Other venereal diseases 8,False,False,False,False,False,91.94,2,0.9310344827586208
padded_cdi_ca_1956_wk_prov_dbs_Part34_tables.csv,7,33,.A 12,12,False,False,False,False,False,81.4,3,0.4
padded_cdi_ca_1956_wk_prov_dbs_Part34_tables.csv,7,34,A.O. 34,34,False,False,False,False,False,32.69,5,0.2857142857142857
padded_cdi_ca_1956_wk_prov_dbs_Part34_tables.csv,16,1,Tuberculosis:4,"Tuberculosis: 4,6",False,False,False,False,False,91.06,3,0.8235294117647058
padded_cdi_ca_1956_wk_prov_dbs_Part35_tables.csv,6,11,R.,39,False,False,False,False,False,67.24,2,0.0
padded_cdi_ca_1956_wk_prov_dbs_Part35_tables.csv,6,36,A.A,1,False,False,False,False,False,80.71,3,0.0
padded_cdi_ca_1956_wk_prov_dbs_Part35_tables.csv,16,1,Tuberculosis:4,"Tuberculosis: 4,6",False,False,False,False,False,91.65,3,0.8235294117647058
padded_cdi_ca_1956_wk_prov_dbs_Part35_tables.csv,26,1,(e) Other venereal diseases⁷,(e) Other venereal diseases 8,False,False,False,False,False,92.87,2,0.9310344827586208
padded_cdi_ca_1956_wk_prov_dbs_Part36_tables.csv,16,1,Tuberculosis:4,"Tuberculosis: 4,6",False,False,False,False,False,89.6,3,0.8235294117647058
padded_cdi_ca_1956_wk_prov_dbs_Part36_tables.csv,26,1,(e) Other venereal diseases⁷,(e) Other venereal diseases 8,False,False,False,False,False,91.5,2,0.9310344827586208
padded_cdi_ca_1956_wk_prov_dbs_Part37_tables.csv,16,1,Tuberculosis:4,"Tuberculosis: 4,6",False,False,False,False,False,88.96,3,0.8235294117647058
padded_cdi_ca_1956_wk_prov_dbs_Part37_tables.csv,26,1,(e) Other venereal diseases⁷,(e) Other venereal diseases 8,False,False,False,False,False,85.06,2,0.9310344827586208
padded_cdi_ca_1956_wk_prov_dbs_Part38_tables.csv,16,1,Tuberculosis: 4,"Tuberculosis: 4,6",False,False,False,False,False,92.19,2,0.8823529411764706
padded_cdi_ca_1956_wk_prov_dbs_Part38_tables.csv,26,1,(e) Other venereal diseases⁷,(e) Other venereal diseases 8,False,False,False,False,False,90.38,2,0.9310344827586208
padded_cdi_ca_1956_wk_prov_dbs_Part39_tables.csv,16,1,Tuberculosis: 4,"Tuberculosis: 4,6",False,False,False,False,False,88.18,2,0.8823529411764706
padded_cdi_ca_1956_wk_prov_dbs_Part39_tables.csv,26,1,(e) Other venereal diseases⁷ Whooping cough,(e) Other venereal diseases 8,False,False,False,False,False,90.04,15,0.6511627906976745
padded_cdi_ca_1956_wk_prov_dbs_Part39_tables.csv,27,0,Table: Table_2,28,False,False,False,False,False,Table: Table_2,14,0.0
